,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,38,WAS,Preston Smith\SmitPr00,DE,22,2019,0,0,4,32,23,80,0,0,0,0,0,0,0,0,0,0,0,143,5,36.5,Mississippi St.,College Stats
2,39,CHI,Eddie Goldman\GoldEd00,DT,21,2019,0,0,4,30,30,67,0,0,0,0,0,0,0,0,0,0,0,102,,12.5,Florida St.,College Stats
2,40,TEN,Dorial Green-Beckham\GreeDo00,WR,22,2016,0,0,0,7,4,31,0,0,0,0,0,0,0,0,68,941,6,,,,Oklahoma,College Stats
2,41,CAR,Devin Funchess\FuncDe00,TE,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,,Michigan,College Stats
2,42,ATL,Jalen Collins\CollJa02,CB,22,2016,0,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,45,2,,LSU,College Stats
2,43,HOU,Benardrick McKinney\McKiBe00,ILB,22,2019,0,1,5,40,40,76,0,0,0,0,0,0,0,0,0,0,0,295,1,11.5,Mississippi St.,College Stats
2,44,NOR,Hau'oli Kikaha\KikaHa00,OLB,23,2017,0,0,1,5,5,27,0,0,0,0,0,0,0,0,0,0,0,39,,8.0,Washington,College Stats
2,45,MIN,Eric Kendricks\KendEr00,ILB,23,2019,1,1,5,42,42,74,0,0,0,0,0,0,0,0,0,0,0,342,4,9.0,UCLA,College Stats
2,46,SFO,Jaquiski Tartt\TartJa00,S,23,2019,0,0,2,16,16,59,0,0,0,0,0,0,0,0,0,0,0,203,3,4.0,Samford,
2,47,PHI,Eric Rowe\RoweEr00,CB,22,2019,0,0,1,10,2,53,0,0,0,0,0,0,0,0,0,0,0,121,3,,Utah,College Stats
2,48,SDG,Denzel Perryman\PerrDe00,ILB,22,2019,0,0,4,21,21,56,0,0,0,0,0,0,0,0,0,0,0,225,3,4.0,Miami (FL),College Stats
2,49,KAN,Mitch Morse\MorsMi00,G,23,2019,0,0,4,28,23,65,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats
2,50,BUF,Ronald Darby\DarbRo00,CB,21,2019,0,0,4,20,10,57,0,0,0,0,0,0,0,0,0,0,0,224,8,,Florida St.,College Stats
2,51,CLE,Nate Orchard\OrchNa00,DE,22,2019,0,0,1,10,9,43,0,0,0,0,0,0,0,0,0,0,0,51,1,6.0,Utah,College Stats
2,52,MIA,Jordan Phillips\PhilJo01,NT,22,2019,0,0,3,21,12,76,0,0,0,0,0,0,0,0,0,0,0,77,1,15.0,Oklahoma,College Stats
2,53,CIN,Jake Fisher\FishJa00,T,22,2018,0,0,0,6,6,48,0,0,0,0,0,0,0,0,2,43,0,,,,Oregon,College Stats
2,54,DET,Ameer Abdullah\AbduAm00,RB,22,2019,0,0,2,12,11,58,0,0,0,0,0,350,1366,6,73,518,4,7,,,Nebraska,College Stats
2,55,BAL,Maxx Williams\WillMa04,TE,21,2019,0,0,1,6,4,58,0,0,0,0,0,5,14,0,78,699,4,7,,,Minnesota,College Stats
2,56,PIT,Senquez Golson\GolsSe00,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
2,57,STL,Rob Havenstein\HaveRo00,T,23,2019,0,0,5,32,32,68,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats
2,58,ARI,Markus Golden\GoldMa00,DE,24,2019,0,0,2,21,13,62,0,0,0,0,0,0,0,0,0,0,0,134,,29.0,Missouri,College Stats
2,59,DEN,Ty Sambrailo\SambTy00,T,23,2019,0,0,0,8,3,57,0,0,0,0,0,0,0,0,1,35,1,,,,Colorado St.,College Stats
2,60,DAL,Randy Gregory\GregRa00,OLB,22,2018,0,0,0,5,5,28,0,0,0,0,0,0,0,0,0,0,0,34,,7.0,Nebraska,College Stats
2,61,TAM,Ali Marpet\MarpAl00,C,22,2019,0,0,5,32,32,72,0,0,0,0,0,0,0,0,0,0,0,,,,Hobart,
2,62,GNB,Quinten Rollins\RollQu00,CB,23,2017,0,0,0,7,7,33,0,0,0,0,0,0,0,0,0,0,0,76,3,1.0,Miami (OH),College Stats
2,63,SEA,Frank Clark\ClarFr01,DE,22,2019,0,1,3,30,21,76,0,0,0,0,0,0,0,0,0,0,0,119,2,43.0,Michigan,College Stats
2,64,NWE,Jordan Richards\RichJo00,S,22,2019,0,0,1,9,6,68,0,0,0,0,0,0,0,0,0,0,0,74,,,Stanford,College Stats
3,65,IND,D'Joun Smith\SmitDJ00,CB,22,2016,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida Atlantic,College Stats
3,66,TEN,Jeremiah Poutasi\PoutJe00,G,21,2016,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats
3,67,JAX,A.J. Cann\CannA.00,G,23,2019,0,0,5,28,28,76,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,College Stats
3,68,OAK,Clive Walford\WalfCl00,TE,23,2019,0,0,0,7,7,52,0,0,0,0,0,0,4,0,74,825,6,,,,Miami (FL),College Stats
3,69,SEA,Tyler Lockett\LockTy00,WR,22,2019,1,1,4,37,37,79,0,0,0,0,0,38,256,1,276,3838,27,1,,,Kansas St.,College Stats
3,70,HOU,Jaelen Strong\StroJa01,WR,21,2017,0,0,0,2,2,20,0,0,0,0,0,0,0,0,31,330,4,,,,Arizona St.,College Stats
3,71,CHI,Hroniss Grasu\GrasHr00,C,24,2019,0,0,1,7,6,18,0,0,0,0,0,0,0,0,0,2,0,,,,Oregon,College Stats
3,72,STL,Jamon Brown\BrowJa04,T,22,2019,0,0,3,20,13,60,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,College Stats
3,73,ATL,Tevin Coleman\ColeTe01,RB,22,2019,0,0,2,30,25,70,0,0,0,0,0,665,2884,24,113,1190,12,,,,Indiana,College Stats
3,74,NYG,Owamagbe Odighizuwa\OdigOw00,DE,23,2016,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,4,,,UCLA,College Stats
3,75,NOR,Garrett Grayson\GrayGa00,QB,24,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado St.,College Stats
3,76,KAN,Chris Conley\ConlCh00,WR,22,2019,0,0,3,18,12,69,0,0,0,0,0,0,0,0,151,2013,11,4,,,Georgia,College Stats
3,77,CLE,Duke Johnson\JohnDu00,RB,21,2019,0,0,0,25,18,80,0,1,0,0,0,382,1696,7,279,2580,11,2,,,Miami (FL),College Stats
3,78,NOR,P.J. Williams\WillP.00,CB,22,2019,0,0,0,9,9,47,0,0,0,0,0,0,0,0,0,0,0,117,4,2.0,Florida St.,College Stats
3,79,SFO,Eli Harold\HaroEl00,OLB,21,2018,0,0,2,12,12,61,0,0,0,0,0,0,0,0,0,0,0,65,,9.0,Virginia,College Stats
3,80,DET,Alex Carter\CartAl01,CB,20,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
3,81,BUF,John Miller\MillJo04,G,22,2019,0,0,4,23,19,60,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,College Stats
3,82,NYJ,Lorenzo Mauldin\MaulLo00,OLB,22,2016,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,20,1,6.5,Louisville,College Stats
3,83,SDG,Craig Mager\MageCr00,CB,23,2018,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,29,1,,Texas St.,College Stats
3,84,PHI,Jordan Hicks\HickJo00,OLB,23,2019,0,0,3,27,20,59,0,0,0,0,0,0,0,0,0,0,0,274,10,6.5,Texas,College Stats
3,85,CIN,Tyler Kroft\KrofTy00,TE,22,2019,0,0,2,6,5,62,0,0,0,0,0,0,0,0,73,732,9,11,,,Rutgers,College Stats
3,86,ARI,David Johnson\JohnDa08,RB,23,2019,1,1,3,34,34,62,0,0,0,0,0,781,3128,33,208,2219,15,2,,,Northern Iowa,
3,87,PIT,Sammie Coates\CoatSa00,WR,22,2018,0,0,0,4,4,45,0,0,0,0,0,4,14,0,29,528,2,8,,,Auburn,College Stats
3,88,MIN,Danielle Hunter\HuntDa01,DE,20,2019,0,2,3,42,42,78,0,0,0,0,0,0,0,0,0,0,0,193,,54.5,LSU,College Stats
3,89,STL,Sean Mannion\MannSe00,QB,23,2019,0,0,0,1,1,13,45,74,384,0,3,23,-17,0,0,0,0,,,,Oregon St.,College Stats
3,90,BAL,Carl Davis\DaviCa01,DT,23,2019,0,0,0,7,7,36,0,0,0,0,0,0,0,0,0,0,0,17,,0.5,Iowa,College Stats
3,91,DAL,Chaz Green\GreeCh02,T,23,2018,0,0,0,5,4,22,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
